lat,lon,orbitYear,gasID,concentration,norm_concentration
63,-96,2009,CO2,4.040e-04,2.1635947140205176
67,-70,2004,CCl2F2,5.420e-10,2.163133990182767
77,-124,2013,CCl2F2,5.410e-10,2.1630632269601966
68,-92,2015,CO2,4.770e-04,2.162211456727316
61,-77,2010,CO2,3.990e-04,2.162050418570372
54,-72,2010,CO2,3.990e-04,2.162050418570372
80,-58,2010,CO2,3.990e-04,2.162050418570372
67,-135,2010,CO2,3.990e-04,2.162050418570372
67,-97,2010,CO2,3.990e-04,2.162050418570372
82,-74,2010,CO2,3.990e-04,2.162050418570372
41,-118,2008,CCl2F2,6.500e-10,2.1618483679928184
52,-112,2011,CCl2F2,5.500e-10,2.1617921451617494
61,-125,2011,CCl2F2,5.500e-10,2.1617921451617494
44,-64,2013,CCl2F2,5.400e-10,2.157295178450143
58,-103,2012,CO2,4.130e-04,2.1564431482253497
81,-52,2012,CO2,4.130e-04,2.1564431482253497
54,-136,2009,CO2,4.030e-04,2.155054223530647
81,-95,2009,CO2,4.030e-04,2.155054223530647
64,-138,2010,CO2,3.980e-04,2.153363265505476
66,-99,2010,CO2,3.980e-04,2.153363265505476
61,-86,2010,CO2,3.980e-04,2.153363265505476
62,-64,2010,CO2,3.980e-04,2.153363265505476
46,-52,2010,CO2,3.980e-04,2.153363265505476
66,-75,2010,CO2,3.980e-04,2.153363265505476
71,-52,2007,CO2,4.070e-04,2.149756741894365
71,-103,2007,CO2,4.070e-04,2.149756741894365
65,-130,2007,CO2,4.070e-04,2.149756741894365
65,-61,2007,CO2,4.070e-04,2.149756741894365
81,-130,2011,CO2,4.760e-04,2.1496871259839097
65,-109,2012,CO2,4.120e-04,2.1481493649368466
68,-76,2009,CO2,4.020e-04,2.146513733040777
79,-108,2013,N2O,8.930e-08,2.145967771975361
80,-97,2006,CO2,4.150e-04,2.1458394953931315
41,-84,2013,CCl2F2,5.380e-10,2.1457590814300365
